app,LN-2019,C5-2019,C6-2019,LA-2019,C52-2019,LN-C5,LN-C6,LN-C52,LL,LA-C5,LA-C6,LA-C52,C5-C6,C5-C52,C6-C52
FarmVille,2.3636058820982986,2.266510634626426,2.508188822807908,2.2128743167549763,2.384660766180667,1.5580170471310915,1.5228652490811099,2.2053994484488735,1.7326303794899907,1.8404409738425425,1.6242431160574442,1.8625095418233777,1.833606256579033,2.0735052179183295,2.0262185813278806
Orange Cloud,7.03049696164688,8.312695185605156,6.617025862866951,10.297468575781718,9.498272702333674,7.38914743892524,6.293194458121128,7.793539714383724,8.487268925982253,9.146509996033146,8.879668316617506,7.431908565149942,7.232353453273869,7.9777997923637365,8.055441574191422
Clips from miscellaneous domains,2.747397037723958,3.026269008374596,2.821848634571136,3.2655183536275048,3.086182557336254,2.750841813676694,2.863269000540446,3.0984920371103373,2.8206812558493066,3.1408133491779195,3.0442524047165347,3.5447608837349387,3.065931229708684,3.4252670332392414,3.0427687713122515
King com games,4.565389838851729,5.264331261697854,4.2706968718374645,4.995218490681169,8.719863522009248,4.832247079114887,3.140435193909314,7.040411753764429,3.4683337441854327,5.072676565415915,3.8049005721636795,7.705541465891438,4.091076100635559,8.232486424869613,8.091826090846297
Wikipedia,2.1946823487210256,2.126957860094213,1.5407381435585115,2.27947617094924,1.9504090430599095,1.6551182643457485,1.9077822486398832,2.14769740462012,2.1052315568126025,1.6304841006203157,1.6192399354037204,1.6582121037807547,1.8359131678468636,2.0061817933251493,1.409989157535776
MiniClip Games,4.180017385456213,3.2201091883733532,2.7878961380327714,3.224387489992108,5.329043931444308,3.1963588164824612,3.1221623936690754,3.2741959204050737,2.943627502578308,2.4948839616917073,2.625592945400202,3.3529811982153306,2.3660764342294924,3.765522817093283,3.874155353492543
Apple Mail,1.4282595627168084,1.861035128042129,1.3069688697232729,1.423094259494608,1.4053773302407189,1.6557840748542054,1.148556102284544,1.3996087001625321,1.258396324163793,1.6929857765738,1.2743173503441958,1.4820688625593421,1.5790576128500529,1.7761832762273337,1.1013090790697544
Microsoft App Store,2.4565833395560577,2.4346959899667024,2.3009383293775327,3.5117034350338447,3.3757433495599156,2.105525971578419,1.560187777878891,2.1118145386646625,2.537926053295057,3.1497360910938106,2.8865870822891457,2.237873302066749,1.9108045817232922,2.861604498720246,2.376215785692823
HTTP_FLV,4.951358709579475,5.440252663412567,5.1603595848322,4.977957842180225,4.465485985793902,4.494264841903501,3.409677071264399,3.497111752293552,3.59156231402157,4.312578666418695,3.250991777297894,3.2190080658053852,4.849097395356915,4.2749587775335725,2.9494469383630104
OpenVPN,4.10945968631722,4.27956835510313,4.0632551824923056,4.1643026690462115,4.066936874800495,1.376744242727427,0.9660205449328996,1.0608397328984964,1.0543477604950384,1.6875672891549818,1.24871567860371,1.1968438504287617,1.3285411015377961,1.6284581999358787,0.9919920262888708
Telegram,5.0088489183329665,5.231287765401504,4.783785148680431,5.100839054118375,5.3540896008107515,2.2346267788473657,2.248280385663322,2.8039911111429183,2.679370575262571,2.158496810323183,2.5421826909230987,2.0644864808231747,2.4036906767335133,2.417120385890325,2.486154834851007
Plex,5.756432436564817,5.678583461545339,5.5317508026709294,5.874681489977291,5.525840056489181,3.153246706861313,3.089874017521255,4.004485324747599,2.739030207811523,3.2424714399058474,3.2928715617509776,4.083418696179481,3.320693227540913,3.926957509367695,3.4141224156440098
Huawei,5.519215186047094,3.8929339892511376,5.829613037868584,5.1359945751638785,4.030545312095487,3.54415613924557,2.756506233995353,4.469226488459317,3.4351399345123483,3.577477314908057,2.6381595843079344,3.520801539762095,3.7761516891330977,2.6862338327919706,4.208915965135541
Samsung App Store,3.0931344560760206,3.795048855628357,4.130083499149932,2.5812660169864854,2.862017493212376,3.6664093013802135,3.50766724010647,3.133022138411693,3.1799679191781474,2.9478886358047913,2.986232767231044,1.5439109244202378,2.1304516659845802,2.734192887430675,2.685498526791673
